name,text,episode,season
LOG LADY,"Welcome to Twin Peaks. My name is Margaret Lantermen. I live in Twin Peaks. I am known as the log lady. There is a story behind that. There are many stories in Twin Peaks. Some of them are sad, some funny. Some are stories of madness, of violence. Some are ordinary. Yet they all have about them a sense of mystery. The mystery of life, sometimes the mystery of death. The mystery of the woods, the woods surrounding Twin Peaks. To introduce this story let me just say it encompasses the all. It is beyond the fire. Though few would know that meaning. It is a story of many but it begins with one and I knew her. The one leading to the many is Laura Palmer. Laura is the one.FADE OUT:INTRO:FADE IN:TUNE: TWIN PEAKS THEME   CREDITS run with the scenes of a bird in a tree, the mill machinery at work, the road into town with the welcome sign, the hotel by the falls and the river.TUNE ENDS: TWIN PEAKS THEME   FADE OUT:FADE IN:EXT. LAKESHORE BY THE BLUE PINE LODGE - DAYDawn breaks over the lake with the sounds of birds and a distant foghorn. Ducks can be seen on the lake.CUT TO:TUNE: LAURA PALMER'S THEME    INT. BLUE PINE LODGE - DAYWe FOCUS on a black porcelain figure of two dogs. We PAN to a nearby mirror and see JOSIE PACKARD, a beautiful Asian woman, in the reflection. Dressed in a pink robe, she is humming as she applies her makeup.CUT TO:INT. BLUE PINE LODGE - DAYCATHERINE MARTELL, a stout woman with curly red hair, is sipping coffee in the kitchen as her husband PETE MARTELL, wearing a hat and tugging fishing gear, walks in. PETE walks up to CATHERINE, kisses his palm and pats her on the cheek. She gives no response. In a dour voice he says ...",1,1
PETE,"Gone fishing.He raps his knuckles on the counter and walks out the door.CUT TO:INT. BLUE PINE LODGE - DAYIn her room, JOSIE hears a door close and looks around still humming.CUT TO:EXT. BLUE PINE LODGE - DAYPETE, carrying a fishing pole and tackle box, is walking away from his house along a walkway near the lakeshore. There is a sound of a distant foghorn.",1,1
PETE,"A lonesome foghorn blows.He stops walking, turns to look out onto the lake and from a distance sees some plastic alongside a colossal cut tree log laying on the lakeside. He slowly walks over to the item and discovers that it is a human form wrapped in plastic.TUNE ENDS: LAURA PALMER'S THEME    CUT TO:INT. BLUE PINE LODGE - DAYIn the kitchen, PETE is on the phone and is visibly shaken.",1,1
PETE,"Oh dear. Lucy, Lucy this is Pete Martell. Lucy put Harry on the horn.CUT TO:INT. TWIN PEAKS SHERIFF'S DEPARTMENT - DAYSHERIFF HARRY S. TRUMAN is pouring himself a cup of coffee. LUCY MORAN, in her office, tells SHERIFF TRUMAN which phone to pick up and he stands bewildered in the process.",1,1
LUCY,Sheriff its Pete Martell up at the mill. I'm going to transfer it to the phone on the table by the red chair ... the red chair against the wall ... the ... the little table with the lamp on it. The lamp that we moved from the corner. The black phone not the brown phoneThe black phone rings and SHERIFF TRUMAN answers it.,1,1
SHERIFF TRUMAN,Morning Pete. HarryCUT TO:INT. BLUE PINE LODGE - DAY,1,1
PETE,She's dead. Wrapped in plasticCUT TO:INT. TWIN PEAKS SHERIFF'S DEPARTMENT - DAY,1,1
SHERIFF TRUMAN,"Well hold on, hold on a second Pete. Where? You stay right there I'm on my way.TRUMAN hangs up the phone and walks over to LUCY.",1,1
SHERIFF TRUMAN,You'd better get Dr. Hayward. Tell him to meet me up at the Packard Mill. The dock right below the dam and rouse that Andy out of bed and tell him to get his butt up there now.,1,1
LUCY,What is it?,1,1
SHERIFF TRUMAN,We got a body up there.LUCY gives a shocked look; SHERIFF TRUMAN points at her and says...,1,1
SHERIFF TRUMAN,"Lucy, not a word about this to anyone until you've heard from me.CUT TO:EXT. TWIN PEAKS SHERIFF'S DEPARTMENT - DAYSHERIFF TRUMAN walks out of the department building and enters his patrol cruiser. He starts it up, turns on the police lights and siren then takes off.CUT TO:EXT. LAKESHORE BY THE BLUE PINE LODGE - DAYTUNE: LAURA PALMER'S THEME    PETE leads SHERIFF TRUMAN, DR. WILL HAYWARD and DEPUTY ANDY BRENNAN, carrying a camera, to the body wrapped in plastic.",1,1
PETE,Its over here.DR. HAYWARDDo you want forensics first?,1,1
SHERIFF TRUMAN,"Naw, she's been in the water.DR. HAYWARDBetter take some pictures.",1,1
ANDY,Who is she?,1,1
SHERIFF TRUMAN,"Andy, pictures.",1,1
ANDY,Sorry.,1,1
SHERIFF TRUMAN,Then we'll turn her over.,1,1
ANDY,Sure. Okay.ANDY takes a few snapshots and then begins to cry.DR. HAYWARDOh Andy.,1,1
SHERIFF TRUMAN,Come on Andy. The same thing as last year at Mr. Blodge's barn.DR. HAYWARDGive me the camera Andy.,1,1
ANDY,(sobbing) Sorry.,1,1
SHERIFF TRUMAN,Is this gonna happen every damn time.,1,1
ANDY,"(sobbing) I'm sorry, I'm so sorry.",1,1
SHERIFF TRUMAN,I want you to go up to the corner's van and bring back that stretcher.,1,1
ANDY,"(sobbing) Okay, sorry.SHERIFF TRUMAN watches ANDY walk off.DR. HAYWARDHarry let's roll her over.SHERIFF TRUMAN and DR. HAYWARD roll the body over and crouch beside it. TRUMAN pauses and looks at DR. HAYWARD before uncovering the plastic. They slowly pull the layers of plastic away from the face of the body.DR. HAYWARDGood Lord. Laura.",1,1
